owner,category,asset_id,expected_path,source_size,alpha,safe_zone,status,notes
user,captain,cap_m_portrait_neutral,art-drop/captains/cap_m/cap_m_portrait_neutral.png,2048x3072,yes,"L/R 164; T 164; B 80",ready,"anchor 1024,2960"
user,captain,cap_m_portrait_happy,art-drop/captains/cap_m/cap_m_portrait_happy.png,2048x3072,yes,"L/R 164; T 164; B 80",ready,"align with neutral"
user,captain,cap_m_portrait_tense,art-drop/captains/cap_m/cap_m_portrait_tense.png,2048x3072,yes,"L/R 164; T 164; B 80",ready,"align with neutral"
user,captain,cap_m_portrait_hurt,art-drop/captains/cap_m/cap_m_portrait_hurt.png,2048x3072,yes,"L/R 164; T 164; B 80",ready,"align with neutral"
user,captain,cap_m_battle_idle,art-drop/captains/cap_m/cap_m_battle_idle.png,1600x1600,yes,"96 all sides",ready,"anchor 800,1504"
user,captain,cap_m_card,art-drop/captains/cap_m/cap_m_card.png,1024x1536,no,"face X15-85% Y12-58%; bottom 20% clear",ready,"no baked text"
user,captain,cap_f_portrait_neutral,art-drop/captains/cap_f/cap_f_portrait_neutral.png,2048x3072,yes,"L/R 164; T 164; B 80",ready,"anchor 1024,2960"
user,captain,cap_f_portrait_happy,art-drop/captains/cap_f/cap_f_portrait_happy.png,2048x3072,yes,"L/R 164; T 164; B 80",ready,"align with neutral"
user,captain,cap_f_portrait_tense,art-drop/captains/cap_f/cap_f_portrait_tense.png,2048x3072,yes,"L/R 164; T 164; B 80",ready,"align with neutral"
user,captain,cap_f_portrait_hurt,art-drop/captains/cap_f/cap_f_portrait_hurt.png,2048x3072,yes,"L/R 164; T 164; B 80",ready,"align with neutral"
user,captain,cap_f_battle_idle,art-drop/captains/cap_f/cap_f_battle_idle.png,1600x1600,yes,"96 all sides",ready,"anchor 800,1504"
user,captain,cap_f_card,art-drop/captains/cap_f/cap_f_card.png,1024x1536,no,"face X15-85% Y12-58%; bottom 20% clear",ready,"no baked text"
user,character,chr_01_portrait_neutral,art-drop/characters/chr_01/chr_01_portrait_neutral.png,2048x3072,yes,"L/R 164; T 164; B 80",ready,"anchor 1024,2960"
user,character,chr_01_portrait_happy,art-drop/characters/chr_01/chr_01_portrait_happy.png,2048x3072,yes,"L/R 164; T 164; B 80",ready,"align with neutral"
user,character,chr_01_portrait_angry,art-drop/characters/chr_01/chr_01_portrait_angry.png,2048x3072,yes,"L/R 164; T 164; B 80",ready,"align with neutral"
user,character,chr_01_portrait_hurt,art-drop/characters/chr_01/chr_01_portrait_hurt.png,2048x3072,yes,"L/R 164; T 164; B 80",ready,"align with neutral"
